model,ym,prisk,regime,ret,dd6,P_S0,P_S1,P_S2
2-state,2004-01,,Benign,0.04115495923412649,-22.1225153975113,,,
2-state,2004-02,,Benign,-0.0033053167990804155,-23.125651268905422,,,
2-state,2004-03,,Benign,-0.020056755416844152,-23.125651268905422,,,
2-state,2004-04,,Benign,-0.06837883983548998,-17.04822669606366,,,
2-state,2004-05,,Benign,-0.022454777350083832,-11.790086712312286,,,
2-state,2004-06,,Benign,-0.06420284374016216,-8.936841114166516,,,
2-state,2004-07,,Benign,0.0927869801410397,-8.936841114166516,,,
2-state,2004-08,,Benign,0.03922498257022733,-8.936841114166516,,,
2-state,2004-09,,Benign,-0.0002993689206676198,-8.936841114166516,,,
2-state,2004-10,,Benign,0.05177036236022192,-10.900575155165859,,,
2-state,2004-11,,Benign,0.020340279025603536,-10.900575155165859,,,
2-state,2004-12,,Benign,0.04105280605239425,-10.900575155165859,,,
2-state,2005-01,,Benign,0.08433576939534881,-10.900575155165859,,,
2-state,2005-02,,Benign,-0.045166897383133287,-10.900575155165859,,,
2-state,2005-03,,Benign,-0.05631265563671062,-8.150820576126073,,,
2-state,2005-04,,Benign,0.06464395365828834,-8.322152523383552,,,
2-state,2005-05,,Benign,0.03911519187847001,-8.322152523383552,,,
2-state,2005-06,,Benign,0.10229533870135499,-8.322152523383552,,,
2-state,2005-07,,Benign,-0.02516002305878673,-8.746719412492364,,,
2-state,2005-08,,Benign,0.12708967654909675,-8.746719412492364,,,
2-state,2005-09,,Benign,-0.05151474919205312,-8.746719412492364,,,
2-state,2005-10,,Benign,0.12030805175416193,-8.746719412492364,,,
2-state,2005-11,,Benign,0.0631474730322672,-11.5340989307117,,,
2-state,2005-12,,Benign,0.014832830212289538,-17.808423193543497,,,
2-state,2006-01,,Benign,-0.0201738719136767,-17.808423193543497,,,
2-state,2006-02,,Benign,-0.00874167246273494,-17.808423193543497,,,
2-state,2006-03,,Benign,0.04422624739817227,-17.808423193543497,,,
2-state,2006-04,,Benign,-0.07186579891986777,-17.808423193543497,,,
2-state,2006-05,,Benign,-0.01711309675450623,-8.639293468825793,,,
2-state,2006-06,,Benign,0.002061476913616911,-5.153632653612938,,,
2-state,2006-07,,Benign,0.04231715200737107,-5.9967543387908995,,,
2-state,2006-08,,Benign,0.013801650043684832,-5.9967543387908995,,,
2-state,2006-09,,Benign,-0.005002140264830257,-6.386264430782818,,,
2-state,2006-10,,Benign,0.04958404579405595,-6.386264430782818,,,
2-state,2006-11,,Benign,0.0015709987092444866,-6.386264430782818,,,
2-state,2006-12,,Benign,-0.0517476837905162,-6.386264430782818,,,
2-state,2007-01,,Benign,0.04198553639575109,-6.386264430782818,,,
2-state,2007-02,,Benign,0.024842369408128562,-18.268953995384496,,,
2-state,2007-03,,Benign,0.061746541180188075,-18.268953995384496,,,
2-state,2007-04,,Benign,0.10288284894052024,-18.268953995384496,,,
2-state,2007-05,,Benign,0.0250982947648013,-18.268953995384496,,,
2-state,2007-06,,Benign,0.10878071036997672,-18.268953995384496,,,
2-state,2007-07,,Benign,-0.031051032028847292,-23.042352546683908,,,
2-state,2007-08,,Benign,0.03909802834457499,-23.042352546683908,,,
2-state,2007-09,,Benign,0.060812398984444904,-23.75039993492264,,,
2-state,2007-10,,Benign,-0.0769305712974303,-23.75039993492264,,,
2-state,2007-11,,Benign,-0.0046537225168874485,-19.390534055808338,,,
2-state,2007-12,,Benign,-0.1436116399354005,-17.00938062473454,,,
2-state,2008-01,,Benign,0.05351203839037111,-20.19609395422751,,,
2-state,2008-02,,Benign,-0.004457768023614417,-21.95639635110014,,,
2-state,2008-03,,Benign,0.07129148713604883,-26.530536804210758,,,
2-state,2008-04,,Benign,0.014544226557667628,-50.301236840175,,,
2-state,2008-05,,Benign,-0.095625303030343,-49.31210299564691,,,
2-state,2008-06,,Benign,-0.04791273487358194,-43.95254845785039,,,
2-state,2008-07,,Benign,-0.0755203586899934,-41.13202266736796,,,
2-state,2008-08,,Benign,-0.01775825633142869,-37.484600271205935,,,
2-state,2008-09,,Benign,-0.23134399572164677,-35.17188776606094,,,
2-state,2008-10,,Benign,-0.03323280897476555,-19.704612573727786,,,
2-state,2008-11,,Benign,0.044978511462916426,-17.046503244304912,,,
2-state,2008-12,,Benign,0.033473561437039834,-17.046503244304912,,,
2-state,2009-01,0.9999993133460084,Risk,-0.08525867370867979,-15.818915824881863,6.866539915363412e-07,0.9999993115856317,
2-state,2009-02,0.9999955721962441,Risk,0.13473747356270582,-5.23507102218862,8.168953520177079e-06,0.9999918294142323,
2-state,2009-03,0.9978775093768215,Risk,0.13521129297623613,-5.23507102218862,0.004240553442601097,0.9957594452995022,
2-state,2009-04,0.5347369520541634,Risk,0.019374035739815998,-8.039541043237852,0.9284036052684946,0.07159638210409056,
2-state,2009-05,0.26745708018939907,Benign,-0.004169431902441678,-11.308526734305968,0.9998227916753653,0.00017720720703643216,
2-state,2009-06,0.13377182297836027,Benign,0.12029617158463801,-11.308526734305968,0.9999134342326785,8.656472189291186e-05,
2-state,2009-07,0.06689126750907395,Benign,0.022192357015423214,-11.308526734305968,0.9999892879602124,1.0710979289143825e-05,
2-state,2009-08,0.03345177465395806,Benign,0.0510663946409764,-11.308526734305968,0.9999877182011578,1.2280742346785903e-05,
2-state,2009-09,0.016748205440175835,Benign,-0.05525543136425026,-9.826886588548733,0.9999553637736064,4.463518281925252e-05,
2-state,2009-10,0.00844213420975436,Benign,-0.015872794001580925,-9.826886588548733,0.9998639370206671,0.00013606194946511982,
2-state,2009-11,0.004884739930581245,Benign,0.08174983668112512,-10.921698461936312,0.9986726543485919,0.001327344631337368,
2-state,2009-12,0.00261388631785264,Benign,-0.047742689070899846,-10.921698461936312,0.999656967294876,0.00034303167515745467,
2-state,2010-01,0.0017429764053726858,Benign,-0.0048988707108124085,-10.921698461936312,0.9991279335071073,0.0008720654635627324,
2-state,2010-02,0.0016193796970910828,Benign,0.06162752714789543,-10.921698461936312,0.9985042170111905,0.0014957819465949897,
2-state,2010-03,0.0010811012472717592,Benign,0.028774010520898452,-10.921698461936312,0.9994571772025476,0.0005428217219788734,
2-state,2010-04,0.18092056600968218,Benign,-0.05759781759966809,-10.37748320233044,0.6392399692279074,0.3607600265193117,
2-state,2010-05,0.09512658342589923,Benign,0.03475402227722779,-3.91121457460053,0.9906673991578837,0.009332599449115925,
2-state,2010-06,0.04806441439320621,Benign,0.035941986108499524,-3.845078550467851,0.9989977546394868,0.001002244272293281,
2-state,2010-07,0.024349874755638223,Benign,-0.009424017363899306,-3.845078550467851,0.9993646648819298,0.0006353340221592233,
